#itemData
# 0_number  1_image_num  2_type           3_name    4_atk    5_def    6_mercenaryAtk    7_mercenaryDef    8_magicAtk    9_magicDef    10_move    11_mercenaryeMove    12_atkRange    13_commandRange    14_mp    15_summon    16_money
         0            0       0           나이프       +1       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0         +50 
         1            1       0           워해머       +2       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +120 
         2            2       0     그레이트소드       +4       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +300 
         3            3       0             완드       +0       +0                +0                +0            +2            +0         +0                   +0             +0                 +0       +1           +0        +150 
         4            4       0       플레임랜스       +6       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0       +8500 
         5            5       0         데빌액스       +8       -3                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0       +2500 
         6            6       0       D-슬레이어       +7       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0      +10000 
         7            7       0   랑그릿사(봉인)       +3       +1                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0      +10000 
         8            8       0   랑그릿사(해제)       +9       +2                +3                +1            +0            +0         +0                   +0             +0                 +0       +1           +0      +10000 
         9            9       0          철아령        +1       +0                +0                +0            +0            +0         -1                   +0             +0                 +0       +1           +0        +100 
        10           10       0    메사이얀소드        -4       -3                -2                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +600 
        11           11       0             오브       +0       +0                +0                +0            +2            +0         +0                   +0             +0                 +0       +2           +0       +1000 
        12           12       0         홀리로드       +0       +0                +0                +0            +2           +30         +0                   +0             +0                 +0       +1           +0       +5000 
        13           13       0         다크로드       +0       +0                +0                +0            +3           +15         +0                   +0             +0                 +0       +1           +0       +5000 
        14           14       0           롱보우       -2       +0                +0                +0            +0            +0         -2                   +0             +2                 +0       +1           +0       +1000 
        15           15       0       아바레스트       -4       +0                +0                +0            +0            +0         -2                   +0             +5                 +0       +1           +0       +5000 
        16           16       0   알하자드(봉인)       +4       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0      +10000 
        17           17       0   알하자드(해제)      +10       +1                +3                +1            +0            +0         +0                   +0             +0                 +0       +1           +0      +10000 
        18           18       1       오딘의방패       +0       +3                +0                +1            +0            +0         +0                   +0             +0                 +0       +1           +0       +4600 
        19           19       1         스몰실드       +0       +1                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0         +60 
        20           20       1         라지실드       +0       +2                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +200 
        21           21       1         체인메일       +0       +3                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +400 
        22           22       1     플레이트아머       +0       +4                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0        +600 
        23           23       1       어절트슈트      +10      +10                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0      +30000 
        24           24       1             로브       +0       +1                +0                +0            +0           +10         +0                   +0             +0                 +0       +1           +0         +80 
        25           25       1     드래곤스케일       +0       +4                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0       +2000 
        26           26       1       미라쥬로브       +0       +2                +0                +0            +0           +20         +0                   +0             +0                 +0       +1           +0       +1000 
        27           27       1           아뮬렛       +0       +0                +0                +0            +0           +15         +0                   +0             +0                 +0       +1           +0       +1000 
        28           28       1           크로스       +0       +0                +0                +2            +0           +20         +0                   +0             +0                 +0       +1           +0        +300 
        29           29       1         넥크리스       +0       +0                +0                +3            +0            +0         +0                   +0             +0                 +2       +1           +0        +900 
        30           30       1       스피드부츠       +0       +0                +0                +0            +0            +0         +2                   +2             +0                 +0       +1           +0        +600 
        31           31       1           크라운       +0       +0                +3                +2            +0            +0         +0                   +0             +0                 +2       +1           +0       +5000 
        32           32       1       그레이프닐       +0       +1                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0       +3000 
        33           33       1           룬스톤       +0       +0                +0                +0            +0            +0         +0                   +0             +0                 +0       +1           +0      +15000 
# end
#
# type - 0 :공격 아이템, 1: 방어아이템
